"id","name","type","firm","stage","thesis_fit","anchor_portfolio","source_url","contact_channel","contact_status","location","confidence"
"086","Nat Friedman","angel","AI Grant / Daniel Gross & Nat Friedman","pre-seed","Co-led ElevenLabs and backed AssemblyAI; canonical AI-productivity/voice + BYO-model angel","ElevenLabs (co-led $19M Series A)","https://elevenlabs.io/blog/elevenlabs-launches-new-generative-voice-ai-products-and-announces-19m-series-a-round-led-by-nat-friedman-daniel-gross-and-andreessen-horowitz","https://aigrant.com (batch application)","à vérifier","San Francisco, CA","0.85"
"087","Paul Buchheit","angel","Standard Capital / YC Partner Emeritus (personal angel)","pre-seed","Prolific dev/AI-tools angel (200+ investments, 10 unicorns); Perplexity confirmed in portfolio — backs early prosumer + AI productivity software at first-check","Perplexity","https://signal.nfx.com/investors/paul-buchheit","warm intro (via YC / Standard Capital / mutual founder)","à vérifier","San Francisco Bay Area, USA","0.85"
"088","Shrug Capital","micro-VC","Shrug Capital (Niv Dror)","seed","Consumer/prosumer-obsessed micro-fund; backed Superhuman — beautiful Mac-first prosumer tools is the whole thesis","Superhuman","https://www.crunchbase.com/person/niv-dror","warm intro","à vérifier","San Francisco, USA","0.85"
"089","Atlassian Ventures","VC","Atlassian Ventures","early","Backe les outils de productivité et collaboration dev — a participé au Series B de Raycast","Raycast (participant Series B)","https://techcrunch.com/2024/09/25/raycast-raises-30m-to-bring-its-mac-productivity-app-to-windows-and-ios/","warm intro (atlassian.com/ventures)","à vérifier","Sydney / San Francisco","0.9"
"090","Tim Chen / Essence VC","micro-VC","Essence Venture Capital","seed","Solo GP backing deeply-technical dev-tools/AI founders; on-device LLM + Mac prosumer tooling fit","Warp.dev (Mac prosumer terminal) — confirmed; Ollama unconfirmed","https://techcrunch.com/2025/09/23/tim-chen-has-quietly-become-of-one-the-most-sought-after-solo-investors/","Warm intro / via essencevc.fund (no public form)","à vérifier","Seattle, WA, USA","0.85"
"091","Geoff Lewis","VC","Bedrock","early","Invests in 'narrative violation' AI & prosumer platforms; a privacy-first BYO-Claude voice agent counter to the cloud-markup norm is a narrative-violation bet.","Vercel (prosumer / developer productivity platform)","https://bedrockcap.com/geoff-lewis","warm intro","à vérifier","San Francisco, CA","0.84"
"092","Thomas Dohmke","angel","Entire (founder, ex-GitHub CEO) / personal angel","seed","Ex-GitHub CEO who shipped Copilot; dev-tools + AI-agent angel — aligned with a confirm-gated voice agent","Resolve.ai / Flox (both confirmed)","https://signal.nfx.com/investors/thomas-dohmke","warm intro (GitHub / dev-tools network)","à vérifier","USA","0.83"
"093","AIX Ventures","micro-VC","AIX Ventures","seed","AI-specialist fund (~$252M AUM); early backer of voice-dictation incumbent Wispr Flow — exactly Verba's AI-voice thesis","Wispr Flow (early investor)","https://www.aixventures.com/portfolio","warm intro","à vérifier","San Francisco, USA","0.82"
"094","firstminute capital","VC","firstminute capital","seed","Seed backer of Granola; focuses on the generative-AI application layer — Verba's bring-your-own-Claude AI productivity sits squarely there","Granola","https://techcrunch.com/2024/10/23/vcs-love-using-the-ai-meeting-notepad-granola-so-they-gave-it-20m/","warm intro","à vérifier","London, UK","0.82"
"095","Goodwater Capital","VC","Goodwater Capital","seed","Consumer/prosumer specialist; participated in Willow Voice's Mac-dictation seed","Willow Voice (participated, $4.2M seed)","https://traded.co/vc/deal/willow-raises-4-2-million-from-boxgroup-and-other-investors-for-voice-first-interfaces/","warm intro","à vérifier","Burlingame, CA","0.82"
"096","Sierra Ventures","VC","Sierra Ventures","seed","Led Krisp's seed — on-device voice processing/privacy, aligned with Verba's on-device approach","Krisp (led ~$1.5M seed with Shanda Group)","https://techcrunch.com/2018/12/10/krisp-reduces-noise-on-calls-using-machine-learning-and-its-coming-to-windows-soon/","warm intro","à vérifier","San Mateo, CA","0.82"
"097","Tyler Tringas","angel","Calm Company Fund","pre-seed / seed","Backs calm/profitable prosumer SaaS — matches Verba's BYO-Claude no-markup, EUR-revenue model (note: fund is paused for new deals)","Profitable/calm prosumer SaaS portfolio (e.g. Instatus, MemberSpace; Refiner unverified)","https://calmfund.com/writing/pause","https://apply.calmfund.com/","verified","Brooklyn, USA (remote)","0.82"
"098","Alexis Ohanian","angel","Seven Seven Six","seed","Creator/consumer investor; angel in Willow Voice — voice-first interfaces","Willow Voice (angel)","https://techcrunch.com/2025/11/12/willows-voice-keyboard-lets-you-type-across-all-your-ios-apps-and-actually-edit-what-you-said/","warm intro (via Seven Seven Six)","à vérifier","San Francisco, CA","0.8"
"099","Edward Suh","micro-VC","Alpine Ventures (NOT Form Capital — candidate firm name corrected)","seed","Solo-GP, quant-driven fund hunting post-product consumer/prosumer software founders with strong PLG — Verba's profile exactly.","OpusClip (AI creator / prosumer video tool)","https://signal.nfx.com/investors/edward-suh","warm intro","à vérifier","Alameda / SF Bay Area, CA","0.78"
"100","Jason Warner","angel","former GitHub CTO / poolside co-CEO (angel)","seed","Angel in Raycast — backs developer/prosumer Mac-first productivity tools, Verba's exact audience","Raycast","https://techcrunch.com/2021/11/30/developer-productivity-tools-startup-raycast-raises-15m-from-accel-and-coatue/","warm intro","à vérifier","San Francisco, CA","0.78"
